review_id,user_id,business_id,stars,date,text,useful,funny,cool,elite,chronological_index,word_count,average
tKOZNN9nT4pbxgj8icRDig,02I8-R5B0bUc6TCZWqweAA,_adbswq_0E8MoJ9eoVf6vw,1,2019-06-03 11:45:48,"Worst hotel ever.  We checked in around midnight after a day of travel.  1st thing we noticed was that there was no bedding for the sofa sleeper.  Had to go to front desk to get it.  Got back and found dirty towels hanging in the bathroom, and dirty bedding in the bed.  Called the front desk again but they didn't answer.  Checked out the next morning.  At least they didn't charge us for the room.  If I could give a negative rating I would.  Don't stay here.",0,0,0,False,47,87,0.05181373520182037
V6DIffEwdhy1Yq81-kHb6g,d9JX3oPi3eppITk6rR8ihw,_adbswq_0E8MoJ9eoVf6vw,1,2019-04-08 01:12:41,"This is honestly the worst hotel I've ever stayed at. The hot tub water was literally brown. It was raining and my husband counted 17 different leaks roof leaks directly into the pool. Our remote was covered in a stickey red substance as well as our phone and night stand. We complained to the front desk and they literally sent a bottle of hand sanitizer and a small towel and said they didn't have any Lysol and we could clean it ourselves. The bathroom smelled awful and was absolutely filthy there was hair on the walls, shower and toilet. So gross. Such a waste of money. The breakfast was horrendous. The only hot food on a weekend was sausage and scrambled eggs. They never restocked the yogurt, donuts or muffins. It was terrible. Yes this hotel is ""budget friendly"" but I guess that just depends on the standards your willing to stoop to. Sooo gross.",0,0,0,False,46,155,0.05464984233010178
cXp708X3ITBEJWULjpHNBA,tekHDsd0fskYG3tqu4sHQw,_adbswq_0E8MoJ9eoVf6vw,1,2018-08-25 15:49:35,"You can't give a place zero stars so this is how it starts. It all went wrong at check-in. That was a sign that I should've just checked out. Me and my friends wanted a place with an indoor pool for a girls night in. Have you ever been berated in a polite tone? I was confused too. This is not the Hilton! You will not get red carpet or even three star service. The concierge was rude and if she reiterated that there are four people to a room one more time even after we got a second one, I was going to lose my mind. I can math. Also, are pets included in this four people per room rule? Every other room has a dog. After the simple math was over and we walked into our rooms we were exhausted. The rooms do have fridges. They don't have microwaves but there's a bar restaurant. The rooms are in need of updating and not just patching the holes on the ceiling update either. You can only stick but so much fancy artwork on the mediocre walls but it doesn't detract that the rooms are old. The pool and indoor hot tub were nice but there's far too much chlorine in the water. The gym is a ""home"" gym at best. There's like three pieces of equipment. As someone who's worked in hospitality, I was really disappointed in the customer service at this place. We complained that the shower was broken and they told us we had to rig it. The front desk made us feel unwelcomed right away as if we shocked them when we decided we wanted a second room. I don't want to say they were shocked because we are of color but they seemed surprised by our intelligence. I've never had so much trouble trying to give someone more money. Last but absolutely not least, remember that second room? The next morning, we went to go use the shower in the second room because the other one was broken and was told that the hotel already checked us out! We're all, ""Uhh checkout isn't til twelve. By who? That's not how checkout works."" The staff entirely made us feel like a burden and less of a blessing. Wouldn't stay here again. This was a terrible pick from Hotels.com.",0,0,0,True,45,392,0.10182896845351876
WyAdg_wdFRFe_JBU2xPCYA,lsiiZR-tA7QCgyH-WyMpZA,_adbswq_0E8MoJ9eoVf6vw,1,2018-07-30 13:39:30,"The staff were friendly but don't be fooled by the photos, this is a tired old dump of a hotel that the owners have given up on.",0,0,0,False,44,27,0.03573119532727417
3eGS-ifg9Nd2ZBj-hT6HgA,Vbm8pMotcXSXrQ0xf6pMNQ,_adbswq_0E8MoJ9eoVf6vw,3,2018-06-26 01:03:48,"Trying to save a little bit of money and, yeah we got what we paid for I guess.

Unfortunate weekend we were there I guess. There was a wedding and a graduation party going on and I guess the place gets pretty loud because there's no security to keep people in the hall. People can freely wander and run up and down the halls at any hour of the night.

Free breakfast the next morning, again, I guess we got what we paid for. Mostly cereal, chewy sausage, and some almost expired yogurt. We were kind of disappointed. Maybe next time we'll actually stay in the city.",0,0,0,True,43,107,0.04052095545339175
HFX2R7tnjf6g8lyD4bwqUg,kf2BU66nykWc4i7kcofVbw,_adbswq_0E8MoJ9eoVf6vw,2,2018-05-05 01:43:37,"Two stars only because the front desk personnel were very pleasant at check in.  However, subtract the two stars for the absolutely horrible experience in the restaurant.  There was a wedding reception in the conference center that had spilled over into the bar area of the restaurant. Five patrons who were intoxicated were not talking but yelling at each other using every foul word possible.  One of the patrons who happened to be white started to pick a fight with a black patron.  There was a table of ladies (not associated with the wedding) who were trying to enjoy their dinner and were concerned for the young black gentleman. They addressed their concern to the waitress who did nothing.  Finally we just paid for our drinks and left to eat somewhere else.  Hotel is fine as long as you don't go to the restaurant.",0,0,0,False,42,144,0.037792938572469924
A0YKw0f3UcoPMcTDWxz9Nw,Ua0qgqUUsanfrcv1ILG48g,_adbswq_0E8MoJ9eoVf6vw,2,2018-02-08 22:42:02,"The room was not completely clean.  It was a nonsmoking room and there were ashes in the window sill.  I called to order room service at 1020 and was told it was closed.  I called the front desk because they should have been open until 11. I was told ""too bad,  we closed early"" then I was hung up on.  The next day, housekeeping tried to enter our room at 1130 and checkout isn't until noon.  I was still sleeping.  She didn't even knock.  The restaurant is overpriced for what you get.  The meat in the Taco salad I ordered was old and the lettuce was brown.  Overall not a terrible experience but the staff was rude.  I would stay somewhere else before here.",0,0,0,False,41,124,0.056726234681863406
Lj0Ip_FNS69OfuL88fRzLQ,i-9nC_PgjbjFcPrTSU-G1w,_adbswq_0E8MoJ9eoVf6vw,4,2017-10-29 18:49:19,"For the price I was very happy. Drove 7 hrs from NY. Room was great (room 204). No signs of bedbugs or anything. Check in was quick and easy. Next morning free breakfast was good enough for us. Waffles, toast, cereal, oatmeal, bagels, toast, eggs and sausage patties juices coffees and teas. Did not get a chance to see the pool. Definitely good for the price and will return. Shower rod does need to be tighter that's about it",0,0,0,False,40,79,0.056617538548758596
F6jQkx_cy7xBd66aCE7TaA,PuJPjLFKcWyGRbtjZa3mCA,_adbswq_0E8MoJ9eoVf6vw,1,2017-09-16 13:28:25,Terrible terrible terrible!... the hallways reeked of marijuana staff was very rude and unhelpful the room was disgusting and smelled awful I wouldn't stay here again or suggest that anyone does.,0,0,0,False,39,31,0.033550779965872614
irjs93t8asg-ojlYHyaoyQ,AdmqLXhiY4LOfmixnnYvLw,_adbswq_0E8MoJ9eoVf6vw,3,2017-08-28 00:05:05,"Booked a party and the food was delicious! The wait staff was slow however. We walked in to very pretty tables, but the setup was confusing. The soup was like on the side of the room, no where near the main food. No drinks were available until a staff came around with drinks, which I had to ask when the drinks were coming. Couldn't take the leftovers though, so don't expect doggie bags. Food 5 stars , service 2, price was reasonable.",0,0,0,False,38,82,0.055621724035749234
