"I thought the cartoon was very good.  At first I thought, this is one of those, if you know what I mean.  However, once it really started I was drawn in and actually enjoyed it very much.  The only thing I didn't like was that it appeared to be in another language.  I would have preferred the language to be in English.  But overall, I thought of it as educational and enjoyable."
"It was a short funny little cartoon. I couldn't understand the language, but it was still amusing. The very simple graphics and animations didn't detract from the overall feel of it. I wouldn't say it's for kids though, it didn't have a children's cartoon feel to it. "
The video is very simple and a little bit boring. I don't like that kind of cartoons. I like more realistic and colorful cartoons. Maybe this cartoon was popular about 40 years ago.
"The video I watched is amusing, if a little offbeat. It is not like typical animations you might find everyday. I found myself feeling curious about what exactly the dialog meant, although you could infer the meaning, to some extent. It was definitely a fairly creative work, I think. Watching the piece definitely inspired a feeling of creativity and curiosity in me, as the video seemed to be older and foreign - these types of things made me think and wonder. I'd probably watch something else by the author, though I wouldn't seek it out explicitly. Some might find the audio a bit annoying, but I thought it was acceptable. I'd recommend this video to those who enjoy animation."
"This is a cartoon that seems to be for children. I did find it mildly amusing, but if you're older than the age of 5-10, you might not like it very much. One thing I did appreciate was that it told a story with very little. Simple lines, simple colors, simple characters. Despite that simplicity, it did get its message across. I found that to be pretty creative. I feel like some kids cartoons these days are too flashy and rely on gimmicks for amusement. This was just a couple characters doing their thing and if I were a kid I would have found it funny. It reminded me of some Pixar animated shorts. However, because it was in German, I could not understand what they were saying."
"The cartoon was very basic.  It was very loud and annoying, with an annoying character.  While he got what was coming to him, he seemed obnoxious.  It was overbearing and quite silly.  Not my cup of tea, but I can see where some people might enjoy the simplicity.  The incomprehensible jargon was annoying.  He seemed very angry and not very nice, so it was painful to watch him.  The color changes didn't seem meaningful, and it was kind of weird. The policeman was the best thing about it, and even then he seemed silly and not good at his job. /  / Overall I wouldn't watch this again.  Nor would I go out of my way to find more about this cartoon.  I wouldn't bother watching this."
Colorful. Great. Fast. Interesting. Smart. Hip. Short. Off-putting. But Nice.
"The cartoon was funny and entertaining. Now I'm not completely praising it, those feelings are mild. It's worth a watch if you enjoy cartoons in general, but I don't think I would really wanna go out of my way to watch it again. The animation style was pretty neat though. I found the characters constant yelling to be mildly annoying though.I felt the cartoon could have been just a bit more silent. Other than that I kinda liked it. But only a little."
"The cartoon may have been aimed at an audience that is more accustomed to esoteric art than we are here in America. The short film seems to be made in Germany and in my eyes parodied the French. The artist seems to have been going the route of making the characters speak gibberish instead of an actual language which would indicate an appeal toward small children - yet young children would be unable to identify with the scenes that were presented here. The situations that the poor doodle were put through seemed just a bit mean. One could interpret this as the hand of a cruel God dealing harsh karma out to someone who becomes increasingly incensed by the frustrating situations that he finds himself in. It could also be a statement on the ever watchful state of authority and how confining it is. This cartoon really didn't connect well with me, but I am unsure if anyone would have found it particularly witty or original."
"I love the cartoon. It is funny, engaging, and keeps your attention. The comedic aspects of the cartoon was a delight. I can see showing this cartoon to my niece and see her laughing to it. Yes, the cartoon is in a foreign language. But the action on the screen can be universally understood. So, I don't see any problems with people not getting 'it' because the dialog is spoken in non-English. Overall, I approve of this cartoon."
"I would have to agree with the above review of the cartoon. The cartoon was engaging for a while. But it also got old and since you don't really know what they are saying it hard to get a grasp on what is going on. I look the drawings and the voices were funny though. I would stick with one color for the cartoon and I would make the language one that we can understand. Also I am not sure but I would guess that this cartoon is European, thus and American would not appreciate it as much. "
"I really liked the cartoon because it was in gibberish. I liked that feature because it reminded me of other cartoons that are like that. However,  the point was hard to follow and then when you figure it out that is not very funny. The main thing that kept me watching was the little dude.I liked how he interacted. I also liked that he interacted with the artist. That also was a feature of some other cartoons I have seen so that was nice. I think the drawing was overall very good."
This is a fun cartoon for children to watch. A fair amount of humor for adults as well. It is in a very unique style that will make it fun to watch. The characters in the cartoon don't speak in any real language so anyone can enjoy it. The main characters are the figure and the artist who draws him. This introduces a funny dynamic between the artist and his creation. It does a good job of showing how a work of art can come alive and at the same time change a lot. This cartoon will make children think about what they are seeing due to the unique style. There are a lot of twists and turns in the cartoon. The action is slow at first but there is enough to keep the audience captivated until the end. 
"This cartoon is a short piece about a line drawing man who is given (by way of the artist's hand appearing onscreen) a bike, then a car. The man is happy with both vehicles at first, but keeps running into things about the vehicles that frustrate him. If I had to guess, I'd say that the theme of the cartoon has something to do with people's tendency to be happy with something for a brief moment before finding fault with it. While there is no dialogue per se (all words are spoken in gibberish), the meaning behind what's being said is always understandable. The man is hassled at every turn by a police man, who gives him tickets for going too fast in his car and then parking where it's not allowed. As the obstacles keep coming out of nowhere, it is easy to feel the man's frustration, but you can't help but feel that the man should be a little more adaptable. All in all, it's a fairly interesting little movie that communicates its idea quickly and well."
"The video works with its own simplicity and engages the watcher through its minimalism.  This minimalism coaxes the watcher into a deep concentration and focus that ensures the cartoon is properly digested and analyzed.  What the viewer will find is a story that conveys, through color and emotion, a story that is just as engaging as one that is propelled by dialog.  Despite the gibberish being spoken, the watcher is more focused on the feel of the story dictated by the characters and their physical actions relative to the world in which they find themselves.  The colors of the scenes shift as the tone of the story shifts, and these subtle cues inform the viewer without direct acknowledgement, but those cues nonetheless ensure that the viewer is on the same page as the characters as well.  Overall, I find this to be a great story, with humor and emotion, conveyed through somewhat abstract and minimal means, but resonant nonetheless"
"There was literally no point to the video. Over-analyzing and looking for meaning in the film is pointless: it's merely a distraction for children and something for younger viewers to amuse themselves with. The video is clearly meant for Italian audiences as the audio is in Italian, albeit it is also mixed with an assortment of gibberish. The video was not at all engaging and the audio was irritating. Want to listen to high pitched nonsense all day? I suspect listening to a child of 4 or 5 would be much more amusing. The video's ""story"" is lackluster. If I wanted to watch someone speeding and getting in thumbing his nose at the law, I probably wouldn't watch a cartoon of it. There is so much more that could have been done with this that it's disappointing that the animator chose the route that he did."
"I suppose I would start with it being strange that this reviewer would consider it a problem with the audio that the cartoon was in another language. It didn't bother me at all and in fact added a bit to the enjoyment because it caused me to focus more on the visual and story-based elements that were going on. I do agree that the color changes did have some significance in how the transitions and motifs were being played out. We both agree that it was a simple and amusing cartoon. Of course more could be drawn from the idea but I don't think that necessary at this point. It did amuse me especially that even though the artist offered the man a bike once again, instead of it playing out in a more typical American 'happy ending,' he ended up falling through a hole in the earth. Not so happy."
"The video was an endless roller coaster of figuring out what was going on. First you have the drawn character and the character which is a hand in the cartoon. The hand seems to be all powerful as he erases and creates new things at the flick of the wrist. The drawn character speaks in either gibberish or a language I'm unfamiliar with, but in a way it was better than if it was in english and we had finite answers for what was being said. The omnipotent hand creates objects like said before for the drawn character. Which causes the character to have a strange journey and what seems like a wild ride of pain and suffering and comic relief from this magical hand god. For what the cartoon is compared to your normal garden variety cartoon it was a breath of fresh air and quite enjoyable."
"The cartoon was amusing in the fact that it kept my attention to the end. I wasn't sure what the point of it was and I wanted to see how it would all turn out. I still don't think it was meant to teach me anything, but rather just meant to laugh. The cartoon drawing seems to be extremely impatient and rude. He demands things by yelling and getting upset and that ultimately gets him what he wants. It reminds me of most peoples general demeanor in that they want everything without having to work or wait for it. There were changing colors, but I don't know if they have any significance. The point of view was also from an unknown human drawing the scenes as we watched."
"The video was fun right off the bat.  You hear a tune that will get stuck in your head, it is still stuck in mine.  From the beginning you wonder if this guy is actually going to speak english or not.  You soon find out that you do not.  Watching this angry little drawing guy speak gibberish was actually pretty funny.  I enjoyed following along with him as he got into his little troubled events.  Even though he was not speaking english it was like I could understand what he was saying.  The different colors used in the video made everything look nice and polished.  I certainly had a good laugh watching it.  While it is not a video I would normally watch on my own, or even recommend, I still enjoyed having the opportunity to watch it.   "
"I found the cartoon to be very amusing at times, and slightly less so at others. I really enjoyed how the cartoon character was complaining to the illustrator until the illustrator changed what he wanted in it. I think that the language being unclear was not at all a disservice to the cartoon. I think that it made me pay more attention to the actions that were on the screen. Overall, I really enjoyed the cartoon and would be happy to watch more of it in the future. I can only imagine what the illustrator may do next. With a cartoon like this there really is no limitations on it."
"This video is silly and amusing.  The drawing style is simple- just white lines.  The simplistic nature of the animation keeps you focused on the ""story.""  It also leaves a lot to imagination if you choose, moreso specific details that aren't there.  The character is also talking to it's creator.  That concept is pretty unique so it makes this cartoon more original.  It is a fast paced cartoon so it keeps even those with poor attention spans focused.  The events in the story also provide comic relief."
"This cartoon was mildly entertaining. It appears to be more suitable for the younger generations/toddlers.  The cartoon features a rather simple design concept which focuses on using one continuous line to create the figures.The cartoon does have a few flaws as well. The cartoon language is Spanish, which might affect those who speak different languages in their understanding of the cartoon plot. The cartoon changes background colors as well, which is somewhat off putting as there doesn't appear to be a reason why. Overall, this is a good, fun, amusing cartoon for Spanish speaking children."
"The video was engaging yet very silly. I found the main cartoon character's voice aggravating and because of that I would not willingly watch another one with same character and/or voice. It was engaging enough that I waited for a point at the end and thought I understood it to some degree. However, by the end of the cartoon, it was clear to me that the video was mainly for entertaining children. Despite the cartoon characters speaking in a foreign language, the point of the video was clear. I would definitely let my 8-year-old son watch it, and I think he would find it very entertaining because of how silly it is. The background color was slightly distracting, yet at the same time it added to the video. It seemed to have more orange and red colors when the main character was frustrated or angry, and purple tones when the character was amused or mocking, and blue or green when the the character was pleased or mollified.  "
"I've seen a number of similar cartoons. Simplistic line cartoons with audio in a language that I don't understand. I think the theory is that the squeeky voice of the characters will work no matter if you understand the language or not. In this case it didn't work for me. Actually it never does. So, I was left to wonder, would this cartoon be funnier with no audio? Or is it only funny if you understand the language? Or is it only funny if you do not understand that language? I don't know the answer to all those questions, but I know that I didn't enjoy this one any more than all the other cartoons of this style that I have watched. It doesn't do it for me. ymmv."
"I really liked this cartoon. I liked that it was in a different language because it forced you to be engaged with the characters to figure out what was going on. I liked the characters voice, even thought I could understand him, his style of talking made me laugh. The illustrations were simple but clever. I wanted to see what was going to happen next with every scene. The only unnecessary thing was the changing back ground color, it was distracting. Overall  would like to watch more of these cartoons. My children would especially enjoy them."
I enjoyed the cartoon. In the begining I was concerned about not understanding the lanuagage but found out it was not intended to be understood. The cartoon had a fairly clear message about driving the speed limit. The final sign was unclear. I assume it was a no parking sign. Only because the main character received a ticket. I still don't understand why in the begining the character got on the bike. This cartoon is drawn more to a younger crowd. It could be a bit more detailed as to it's intent. / 
"The cartoon was basically gibberish.   The artist interacting with his cartoons was very much like an old Bugs Bunny gag.  The audio for the cartoon was heavily reminiscent of Elmo.  All in all these qualities gave the cartoon a feeling of ""been there, done that"".  It was interesting to see the line become animated, but there are much better animations to enjoy.  In this world of endless media no one should waste time on this.   If there was a point to it's creation then that point alludes me."
"This cartoon is fun to watch and the main character is quite enjoyable.Though you can not understand what he is saying you still can perceive what he is trying to say. The cartoon itself is drawn in a very simple way, but that does not take away from the overall quality. The cartoon seems to be conveying a message about speeding and safety I believe. There is a person drawing the cartoon as it goes along but this person never speaks or reveals themselves.. Overall this was a fun and amusing cartoon to watch. a little bit silly but fun nonetheless."
"I enjoyed the cartoon a lot. I thought the idea was fairly original. The main character was engaging and effectively communicated his personality.  This is especially impressive because the gibberish the character spoke did not allow him to express himself through words. It's true, though, that his voice contributed much to the character through intonation. I found the running joke involving the policeman was also funny. The overall message of the cartoon was simple but effective as well. Namely, that asking for more and more only brought the main character more trouble. If he had stayed with the bicycle he was originally provided, things would have been much easier for him. Overall, my impression of the cartoon is highly favorable."
This video at first I wasnt sure I would like.  After the first couple of seconds I could feel myself smiling.  This cartoon reminded me of something I used to watch as a kid.  I felt myself going back to watching that other cartoon and remembering it fondly.  This cartoon kept it light hearted and fun.  The main character was witty and funny.  He kept my attention well.  I would love to watch something like this again. It being me back to my childhood
The video was simple but entertaining. It was narrated in an unfamiliar language. I felt this technique was interesting and creative.  The viewer is left to use their imagination to fill in the conversation themselves. The storyline was easy to understand even without narration.  There were twists in the plot that kept the viewer interested.  The premise that there is a character drawing this world made it seem like anything could happen at any moment.
"The video, while simplistic in nature, is very engaging. The humor really keeps your involved through the video. You want to see what the main character will do next. His grumbling are amusing actually very life like. You can see the real human emotion and reaction in such a simple drawing. The little things, like the wind up key on the police officer, really add the the narrative. These show things like how the officer is robotic, only doing what he is told. Whereas the main character is constantly trying to change his world. He requests the narrator multiple times to do things that he would like done."
"At first the cartoon seemed a bit uninteresting but shortly after it started it began to catch my attention. The longer I watched the cartoon the more interested I became, the more amusing the cartoon became. I think the cartoon was simple but creative, sometimes it harder to take something that simple and make it entertaining but the creator of this cartoon managed to accomplish just that. The main character of the cartoon was engaging and interesting and I liked the it ended. "
The video was highly entertaining and and fun to view. I couldn't understand the language being used but that doesn't matter! The art style is simple but it conveys a lot of emotion and humor in an easy to understand universal way. The audio is simple but once again it totally conveys what the artist is trying to get across. While there may be some deep hidden meaning that I am not understanding...at face value this cartoon is interesting and humorous and that is a great thing. Overall I would highly suggest this cartoon to anyone looking for an interesting view for a few minutes. At under 3 minutes you have no reason not to check it out!
The cartoon was very simple. The concepts were presented in a very simple manner. The cartoon seemed to  portray the frustration of being bound by limitations. These limitations might be our own physical abilities. They might be the rules of society. The character always wanted to challenge these limitations. However he was always reigned back. An interesting point was made. However I wouldn't call it particularly entertaining.
"This cartoon was amusing and, although child like, was geared more towards adults. It's humor was slightly sophisticated and would be over the heads of children. The cartoon's main character has all his actions and predicaments governed over by the cartoonist, who helps him out of a few scrapes by the judicious erasing of a policeman. The language, which seemed to be either Italian or French, added to the European flavor of the cartoon. The screen seems to change colors according to the carton man's moods. For instance, towards the end of the cartoon the screen turns red, which seems to reflect the cartoon man's irate mood. His calmer, happier moods are reflected in blues. All in all the cartoon is amusing and I would like to see other videos of this genre to see if the little cartoon man has more scrapes his cartoonist friends gets him out of! "
"THE CARTOON WAS PRETTY INTERESTING. I LIKED HOW ONE SCENE LED INTO ANOTHER AND HOW THE ARTIST HAD TO DRAW/ADD ON MORE LINES/DESIGN IN ORDER TO CREATE A DIFFERENT SCENARIO. ABOUT THE ONLY THING I DID NOT CARE FOR WAS THE VOICE/NOISE OF THE CHARACTER. IT WAS SLIGHTLY ON THE ANNOYING SIDE. OTHERWISE, I REALLY LIKED IT."
"The video is amusing the first time you watch it.  I would imagine that further viewings would cause it to lose a bit of its appeal.  It's easy to see that it's a bit dated and would be considered something classic from the area it was created in.  As the spoken language is not in English it requires that you use only what you can see and the ambient sounds to identify what is happening.  The story line is entertaining enough to stay until the end to determine what happens to this person that is trying to get somewhere.  The video quality and audio is quite dated but doesn't detract from the overall enjoyment of seeing it.  It would appear that there is some sort of over arching educational tone about being happy with what you have, but it is not made completely clear, and in the end the poor guy falls off the page which is somewhat confusing."
It was very interesting video and have a good point of life. Even it was in different languish it's easy to understand of what they trying to say. Its people never appreciate what they have. We should be thankful for what we have. And if we got blast to get something bigger it our life we should know how to use that. And don't take advantage of it.
"I really could not pick out any endearing qualities about this cartoon.  It was not entertaining.  In fact I found it to be overall boring and not at all funny.  Maybe children would enjoy the simplicity of the cartoon, and it could have worked in certain scenarios, but this just did not work.  I could not wait for the cartoon to end.  It didn't make sense, it wasn't funny, and it just didn't work.  I enjoyed the overall concept of the off screen cartoonist who controls the world but the characters in the cartoon were not well done.  The main character was unsympathetic and I actually enjoyed when he got pulled over by the police.  I would not recommend this cartoon to anyone."
The cartoon is amusing and keeps you watching until the end. The characters are speaking a foreign language which you don't necessarily need to understand to get the point of the cartoon. The music in the background adds to the cartoon as being amusing. The background color changes throughout the cartoon that tells us of the character's mood. There is a character whose hand we see that is in control of the drawn character. The drawn character seems silly and expresses certain real human emotions while the hand is god-like. The way it's drawn is very simple but that adds to the simplicity of watching it. It's easier to get the point across when it's visually simple.
"I found this cartoon both relevant and endearing.  This poor character experiences much the same types of problems in his everyday life that we do.  He's met at every turn with authority which makes him change his way of doing things.  His freedom is restricted.  I liked the way the characters talked.  Although the words were indistinguishable (much in the way the Minions talk), it was obvious what was taking place.  The drawings are simplistic in the whole, but they effectively tell the story the artist intended to tell.  The changes in color were effective in setting different moods based on the actions going on on-screen.  I loved it!"
"The cartoon has a simplistic art direction which helps add to it's charm.  The background color changes and helps add to the atmosphere in a way that lets you feel the main characters emotions better.  The artist of the cartoon plays a role in the video and ends up feeling like a main protagonist without taking away from the ""star"".  Even though there is no distinguishable dialog, instead opting for a form of gibberish, you are clearly able to follow the tone of what is being said. The introduction of the police officer feels a bit forced but ultimately serves to enhance the story of the cartoon.  If there was a single complaint it would be the ending.  I was anticipating something a little more clever to end this cartoon.  But ultimately it is a simple ending which does serve to emphasize the simplistic nature shown throughout.  If you are looking for some quick simple fun I would highly recommend spending a few minutes with this cartoon."
"The video was amusing. At first, I was put off by the simple design. But as the cartoon continued, I warmed up to it. I liked the idea of the artist as another character of the cartoon. The language issue wasn't a problem, I understood was was going on, even if I couldn't understand the language. I would be interested in seeing other similar cartoons in the future. It was of high quality and produced well. The ending seemed appropriate and made me laugh. Overall, it was an enjoyable cartoon and it brightened my day. "
This cartoon is fun. It is quite a bit different from the ones you see now and days. Even though you could not understand what the cartoon was saying it was extremely interesting. It kept me watching to the end. It moved quickly from one thing to the other. It was very appropriate which is refreshing. The video is short so it is easy to watch. The colors are basic. It made me laugh at times. It also made me smile at times. I would recommend watching this cute clip.
The cartoon held my interest throughout its entirety. I was amused at the way that the character used a language that was not intelligible yet you could understand the thoughts and feelings it aroused. The use of colors lent me to experience feelings that coincided with the emotions such as red for anger or fury and blue for a sense of calmness. The poor character had a very bad temper and seemed to be going through some bad luck in his attempts for using the modes of transportation he was provided. His communication with the artist and then the policeman showed various types of emotions. I liked the irony of the ending and it gave me the feeling that one must be grateful for what we have because it may be lost.
"The cartoon offers a new premise to which I had never seen before.  The cartoon features animated characters, including our main character and a fellow police cop, but it also features an additional character whose identity is unknown.  All the audience sees of this additional character is their hand, and they draw on the screen.  Whatever they draw on the screen becomes a part of the animated characters' world; for example, the offscreen character draws a bicycle and a car for the main animated character to use, and the offscreen character is able to change the speed limit on the street signs.  While then I was fascinated by the originality of this cartoon, I also had a few issues with it as well.  The cartoon is in a language that I am unfamiliar with and does not have any subtitles or closed captions.  While it's not difficult to follow along with the story without knowing the language, I was still annoyed that I did not understand the dialogue; I would have loved to have been able to follow the storyline completely!  Furthermore, the main animated character is always yelling, and I found myself to be uncomfortable with all the noise.  Perhaps if I had known what he was saying then I would not have been so annoyed - maybe he was yelling for a good reason.  I enjoyed the idea of the cartoon then and would love to see more types of these cartoons, but I would probably only seek them out if I understood the language or if closed captions or subtitles were offered as well."
"The cartoon represents a character who encounters different situations.  The character is approached by another character who writes him/her up for what he/she has done.  The character seems frustrated. The character cannot get away with anything.  It is amusing at times because the character thinks he/she can get away with doing things.  It is interesting that it starts out with the character using a bicycle and ends with the character going back to using the bicycle. Even though the dialogue is in another language, one can understand what is happening. The ending is appropriate!"
The  video is interesting even though you can not tell what is being said. There is enough context drawn into the cartoon for the viewer to be able to effectively assume the tentative plot. It was an amusing watch as the main character progressed through the 2D world that was constructed for him. The colors of the environment and background seemed to change and coordinate with the perceived mood and emotion of the main character.
"This was a cute little cartoon.  It was very simple lines drawn on a colored screen, but I think that added to the appeal. It was also in a different language, so that might be considered off-putting to some.  However I enjoyed it because it was obvious what was going on and the language sounded adorable.  I also thought it was cute that the main character kept telling the artist to change things for him.  The music in the background was cute as well, I still have it in my head.  It was interesting enough to keep my attention, and short enough so I couldn't get distracted.  I think little kids would really enjoy this.  "
"I actually remember seeing this cartoon as a kid. It was a mini-movie kind of thing that was shown during some other show, of which I have no recollection. The animation is incredibly simplistic, but effective. The speaking of a different language was convenient, considering that most American kids would never know what the character is saying, so it could theoretically say any damn thing it wants and get away with it. The background would occasionally change color, and I felt that reflected moments when the character got really angry - the more red-ish the background was, the more angry it implied the character was."
"The video is both fun and interesting to watch. I loved the alternative language, which reminded me of the teachers from a Peanuts cartoon. Though it wasn't clear what was being said, I felt the artist did a brilliant job having the characters express their emotions. I loved the different vehicles, and I felt there was a message here about speed. I mean, speed, as in we are all trying to get from point A to point B, but no matter how fast we go such as 60 MPH or 130 MPH, it's never fast enough. I enjoyed the police officer stopping the progress, showing in a way that patience is a virtue, and perhaps expressing a hint that stopping to smell the roses isn't always a bad thing. It was fun seeing the main character get angry, annoyed, and such as he was delayed by a slow moving vehicle before seeing his delight as he was granted a fancy sports car, which further emphasized his desire to get moving faster and faster, only to have his progress impeded by traffic signs and a traffic officer with a handy whistle. I might be reading into this, but that's how I interpreted the animated cartoon, and I thoroughly enjoyed both the content and the message.  "
"The video started out being kind of confusing, considering I don't speak the language that was being spoken. However, it wasn't long before I realized that I didn't need to understand what was being said to figure out what was going on in the video. Based just on the tone of the speaking by the characters, you could tell what was going on. I found the video to be funny and interesting. It was very simple yet kept you engaged enough to want to finish the video to see what was going to happen. I think just about anyone would find this video worth the watch and the person who made it did a very good job with it."
"This cartoon is very special to me because it reminds me of my childhood. Although I cannot remember where I have seen it, it is very familiar to me and I feel like it may have been featured on The Electric Company or Sesame Street. Regardless, it is quite different from most cartoons you see today. It is simple, but quite effective because you really want to see what happens to the main character. I like the hand effect, as the person drawing becomes a character too! I think it is a great cartoon for children, and it can teach them about ideas like controlling frustration and being polite. The language appears to be a fictional language, which means that it would appeal to kids from many different cultures. Overall, I think this cartoon is interesting, unique and engaging."
The video was funny. Even though it was not in my language you could still follow the story line. The character showed different feelings in the video depending on what was happening. The tone of the way he said his words made it easy to follow the mood of the story. The character talking to the writer which was original. I loved the simplicity of the pictures. You didn't have to worry about details so you could just enjoy the humor instead. I would love to see a series of these types of comic videos.
This video captures you attention with it's simplicity. There are a few different parts that tell a story. As you watch all the way to the end and think about the video as a whole you get the whole story. Some of the words and language is hard to understand but just the visual images you can catch the story. The simple line design really made it easy to follow. With little background it allowed you to stay focused on the main story being told.
"The cartoon is a funny and intelligent look at aggressive driving habits. The video is funny because the character's response is over the top yet highly familiar to anyone who's gotten a driving ticket. The style of the video is very minimalistic yet the clear lines, narration and ""dialogue"" tell a very clear story. The audio is a little unclear but I think its a deliberate garbled mess of Italian. It isnt important exactly what the characters are saying, because the context and emotion displayed tell the viewer everything they need to know. The changing colors are a clear indication of the driver's frustration ( red at the very end to indicate he was really mad ). /  / In the very end, the driver is presented with a bike once again. I don't know whether this signifies anything important but to see him fall of the line is amusing. Overall, this is a funny video that shows good story-telling is separate from its presentation."
"I found the cartoon quite amusing and it kept my attention throughout. The cartoon also sparked my interest. Although the language was not understandable to me personally, I was nevertheless able to interpret the basic meaning of the plot. The actions of the characters were enhanced by the changing color of the background throughout the sequence. This color change revealed the emotions of the characters during the actions portrayed. The cartoon was specific and detailed in that it examined several varying actions and outcomes. It was humorous and creative. This video, although somewhat subjective, presented somewhat clear advantages and disadvantages of engaging in various behaviors. It was impressive in that is promoted somewhat good behavior regardless of the response of the main character. I found this cartoon entertaining and somewhat thought provoking. "
I have no idea what this video is about but i found it interesting. The voices are funny and i could not stop laughing. I main character look like he was facing obstacles and getting angry all the time. I was kept glue to the video. I could not wait what would happen next. I wonder what language was the video was in. It looked like Italian or something similar. The animation looked old and simple. Somebody was bored and made this. Overall i enjoy watching this video.
"The cartoon was somewhat unique. I haven't seen anything like it before. It was in a different language so I had no idea what was actually being said, but it didn't seem to matter. There is a main character being constantly redrawn on what appears to be the cartoonists sketch pad. The main character goes through a range of emotions as he goes through a day in his life. Some of these moments are funny and the characters actions make the emotions obvious without having to understand the audio. The act of the constant redrawing the cartoonists hand visible in the process gives this cartoon a unique feel. I would recommend this to others. "
"The cartoon was mildly amusing. It seemed to showcase the trouble that one gets into for being overly demanding and self-interested. The cartoon man regularly demands more and more and is never satisfied. The cartoon ultimately shows us the consequences of such a personality. In terms of presentation, the cartoon was simple and kind of quaint. I can't say the quality is good, but it fit the overall message. The audio, even if it was in a language I could understand, was off-putting. The voices were reminiscent of hamsters or some other chirpy animal. It was a creative way to portray the message, but the quality overall was low. "
"I thought the cartoon was engaging and amusing.  I would chuckle every time the main character stuck his tongue out at things he didn't like.  Even though it was presented in a language that I didn't understand, German I believe, I could still understand what was happening most of the time.  The cartoon characters' body language was very distinct and the changing colors behind the characters helped to convey their messages even better.  The voice inferences of the characters also gave clues to their emotional states.  The cartoon was engaging in that I kept wanting to see what would happen.  Would the main character drive too fast and get arrested, have a terrible crash, run over the policeman???  I didn't expect for him to get so upset and angry that the artist would have to take away his car and give him his bike back!  The ending was cute because the main character seemed to be O.K., even relieved, to get back on his happy little bike and ride off.  I think the simplicity of the entire cartoon was charming.  It kept me focused on the message of the cartoon and I therefore wasn't distracted by all the background ""noise"" that we find in so much of our video messages today. "
